dataset,profile,cost_mode,segment_type,segment_value,n_test,tie_count,tie_rate,coverage_count,coverage_rate,disagree_count,disagree_rate_all,disagree_rate_covered
stageb,q50_c50,net,pattern,branch,18,1,0.05555555555555555,17,0.9444444444444444,3,0.16666666666666666,0.17647058823529413
stageb,q50_c50,delta_net_minus_gross,pattern,branch,18,-7,-0.38888888888888884,7,0.38888888888888884,1,0.05555555555555555,-0.023529411764705882
stageb,q20_c80,gross,pattern,branch,18,9,0.5,9,0.5,1,0.05555555555555555,0.1111111111111111
stageb,q20_c80,net,pattern,branch,18,3,0.16666666666666666,15,0.8333333333333334,1,0.05555555555555555,0.06666666666666667
stageb,q20_c80,delta_net_minus_gross,pattern,branch,18,-6,-0.33333333333333337,6,0.33333333333333337,0,0.0,-0.04444444444444444
stageb,q80_c20,gross,pattern,conditional,18,8,0.4444444444444444,10,0.5555555555555556,2,0.1111111111111111,0.2
stageb,q80_c20,net,pattern,conditional,18,5,0.2777777777777778,13,0.7222222222222222,2,0.1111111111111111,0.15384615384615385
stageb,q80_c20,delta_net_minus_gross,pattern,conditional,18,-3,-0.16666666666666663,3,0.16666666666666663,0,0.0,-0.046153846153846156
stageb,q50_c50,gross,pattern,conditional,18,11,0.6111111111111112,7,0.3888888888888889,0,0.0,0.0
stageb,q50_c50,net,pattern,conditional,18,4,0.2222222222222222,14,0.7777777777777778,3,0.16666666666666666,0.21428571428571427
stageb,q50_c50,delta_net_minus_gross,pattern,conditional,18,-7,-0.38888888888888895,7,0.3888888888888889,3,0.16666666666666666,0.21428571428571427
stageb,q20_c80,gross,pattern,conditional,18,11,0.6111111111111112,7,0.3888888888888889,1,0.05555555555555555,0.14285714285714285
stageb,q20_c80,net,pattern,conditional,18,5,0.2777777777777778,13,0.7222222222222222,2,0.1111111111111111,0.15384615384615385
stageb,q20_c80,delta_net_minus_gross,pattern,conditional,18,-6,-0.33333333333333337,6,0.3333333333333333,1,0.05555555555555555,0.010989010989011005
stageb,q80_c20,gross,pattern,delta,18,8,0.4444444444444444,10,0.5555555555555556,0,0.0,0.0
stageb,q80_c20,net,pattern,delta,18,3,0.16666666666666666,15,0.8333333333333334,4,0.2222222222222222,0.26666666666666666
stageb,q80_c20,delta_net_minus_gross,pattern,delta,18,-5,-0.2777777777777778,5,0.2777777777777778,4,0.2222222222222222,0.26666666666666666
stageb,q50_c50,gross,pattern,delta,18,10,0.5555555555555556,8,0.4444444444444444,2,0.1111111111111111,0.25
stageb,q50_c50,net,pattern,delta,18,5,0.2777777777777778,13,0.7222222222222222,4,0.2222222222222222,0.3076923076923077
stageb,q50_c50,delta_net_minus_gross,pattern,delta,18,-5,-0.2777777777777778,5,0.2777777777777778,2,0.1111111111111111,0.05769230769230771
stageb,q20_c80,gross,pattern,delta,18,10,0.5555555555555556,8,0.4444444444444444,2,0.1111111111111111,0.25
stageb,q20_c80,net,pattern,delta,18,5,0.2777777777777778,13,0.7222222222222222,3,0.16666666666666666,0.23076923076923078
stageb,q20_c80,delta_net_minus_gross,pattern,delta,18,-5,-0.2777777777777778,5,0.2777777777777778,1,0.05555555555555555,-0.019230769230769218
stageb,q80_c20,gross,pattern,hierarchical,17,8,0.47058823529411764,9,0.5294117647058824,1,0.058823529411764705,0.1111111111111111
stageb,q80_c20,net,pattern,hierarchical,17,4,0.23529411764705882,13,0.7647058823529411,1,0.058823529411764705,0.07692307692307693
stageb,q80_c20,delta_net_minus_gross,pattern,hierarchical,17,-4,-0.23529411764705882,4,0.23529411764705876,0,0.0,-0.03418803418803418
stageb,q50_c50,gross,pattern,hierarchical,17,6,0.35294117647058826,11,0.6470588235294118,1,0.058823529411764705,0.09090909090909091
stageb,q50_c50,net,pattern,hierarchical,17,3,0.17647058823529413,14,0.8235294117647058,2,0.11764705882352941,0.14285714285714285
stageb,q50_c50,delta_net_minus_gross,pattern,hierarchical,17,-3,-0.17647058823529413,3,0.17647058823529405,1,0.058823529411764705,0.05194805194805194
